filename,sub_id,snapshot,view,Name,Name_ext,snapshot_n,SubfindID,c_axis,b_axis,a_axis,Name_joined,snapshot_joined,subhalo_id,view_joined,stellar_mass,re_kpc,sample_manga,manga_ifu_dsn,distances_selec,n_star_part,n_gas_cell,type,c/a,c/b,b/a,c_a,b_a
TNG50-96-542673-0-127.cube_maps.fits,542673,96,0,96_542673,96_542673_0,96,542673,0.98801774,1.9808651,2.1178083,96_542673,96,542673,0,10.372699,4.677308,0,61,0.039168134,409238,820214,1,0.4665284105270528,0.4987809316242686,0.9353373013034276,0.46652841052705285,0.9353373013034276
TNG50-93-488475-0-127.cube_maps.fits,488475,93,0,93_488475,93_488475_0,93,488475,1.2747085,3.2295675,3.321138,93_488475,93,488475,0,10.876488,6.296734,1,37,0.34675264,1315331,741711,1,0.3838167820789139,0.3946994450495306,0.9724279749892958,0.38381678207891395,0.9724279749892958
TNG50-92-490816-3-127.cube_maps.fits,490816,92,3,92_490816,92_490816_3,92,490816,3.4199157,8.74924,9.230699,92_490816,92,490816,3,10.924159,18.796711,1,127,0.16292205,1441716,1177950,1,0.3704936863394635,0.3908814594181894,0.9478415448277536,0.37049368633946356,0.9478415448277536
TNG50-94-591508-0-127.cube_maps.fits,591508,94,0,94_591508,94_591508_0,94,591508,1.1368841,2.8998277,3.158376,94_591508,94,591508,0,10.247708,6.415223,2,127,0.12188805,295959,365921,1,0.3599584406669757,0.3920522933138407,0.9181388473063372,0.3599584406669757,0.9181388473063371
TNG50-91-70258-0-127.cube_maps.fits,70258,91,0,91_70258,91_70258_0,91,70258,1.0888189,1.781447,1.8782852,91_70258,91,70258,0,10.811777,4.0069394,2,37,0.5568997,1251466,0,1,0.5796877385819789,0.6111991543952753,0.9484432928503084,0.5796877385819789,0.9484432928503083
TNG50-94-549577-0-127.cube_maps.fits,549577,94,0,94_549577,94_549577_0,94,549577,3.3162706,3.9442592,4.0178604,94_549577,94,549577,0,10.5113325,9.093166,2,127,0.050271068,570641,580559,1,0.8253822357790231,0.8407841452204765,0.9816814939613132,0.8253822357790231,0.9816814939613133
TNG50-91-277690-0-127.cube_maps.fits,277690,91,0,91_277690,91_277690_0,91,277690,1.403431,3.5169504,3.6602354,91_277690,91,277690,0,10.640165,6.8459573,2,61,0.033913326,740168,419390,1,0.3834264320813902,0.399047709060668,0.960853610672144,0.3834264320813902,0.9608536106721441
TNG50-95-603634-0-127.cube_maps.fits,603634,95,0,95_603634,95_603634_0,95,603634,1.3331696,4.752522,4.981136,95_603634,95,603634,0,9.783198,8.884103,2,127,0.16657293,100564,187080,1,0.267643686098914,0.2805183437341268,0.954104043736208,0.267643686098914,0.9541040437362079
TNG50-91-156820-0-127.cube_maps.fits,156820,91,0,91_156820,91_156820_0,91,156820,1.2790595,1.6753708,1.7724311,91_156820,91,156820,0,10.936414,4.1858025,2,37,0.35918242,1633425,174319,1,0.7216413094985752,0.7634486049297265,0.9452388868599744,0.7216413094985752,0.9452388868599745
TNG50-95-99966-0-127.cube_maps.fits,99966,95,0,95_99966,95_99966_0,95,99966,0.87521064,2.134081,2.1898308,95_99966,95,99966,0,9.779082,4.4776673,2,91,0.05886212,102975,17819,1,0.3996704402915513,0.4101112563206364,0.9745415033892116,0.3996704402915513,0.9745415033892116
TNG50-94-547219-0-127.cube_maps.fits,547219,94,0,94_547219,94_547219_0,94,547219,1.6525155,6.567614,7.3715982,94_547219,94,547219,0,10.555455,12.715268,2,127,0.94589597,590347,707857,-1,0.2241733007097429,0.2516158075063486,0.8909348857348193,0.22417330070974298,0.8909348857348193
TNG50-96-675719-0-127.cube_maps.fits,675719,96,0,96_675719,96_675719_0,96,675719,0.70624185,1.5811331,1.617585,96_675719,96,675719,0,9.501641,3.248149,2,37,0.042930588,52376,125153,1,0.4366026205732619,0.4466681837221673,0.9774652336662368,0.43660262057326193,0.9774652336662369
TNG50-95-613025-0-127.cube_maps.fits,613025,95,0,95_613025,95_613025_0,95,613025,1.3297101,3.4690495,3.5100017,95_613025,95,613025,0,10.082737,7.69677,2,19,0.21327399,208154,332781,1,0.3788346028436396,0.383306753045755,0.9883327122035296,0.3788346028436396,0.9883327122035297
TNG50-97-667488-0-127.cube_maps.fits,667488,97,0,97_667488,97_667488_0,97,667488,0.7427165,2.234547,2.3609095,97_667488,97,667488,0,9.782469,4.945021,1,127,0.010550174,101612,140544,1,0.3145891445648383,0.3323790012024809,0.9464771944879716,0.3145891445648383,0.9464771944879717
TNG50-96-301973-0-127.cube_maps.fits,301973,96,0,96_301973,96_301973_0,96,301973,0.6168525,1.4173869,1.4728534,96_301973,96,301973,0,10.047602,3.0257807,0,37,0.0628329,198303,13591,1,0.4188145948537716,0.4352040363855487,0.9623407869377902,0.4188145948537716,0.9623407869377902
TNG50-94-595184-0-127.cube_maps.fits,595184,94,0,94_595184,94_595184_0,94,595184,1.3463445,5.4556746,5.692558,94_595184,94,595184,0,10.266634,10.937463,2,37,0.639621,306085,369608,1,0.2365095797003737,0.2467787393331706,0.9583871784881244,0.23650957970037373,0.9583871784881244
TNG50-94-531525-1-127.cube_maps.fits,531525,94,1,94_531525,94_531525_1,94,531525,0.9639819,3.567752,3.872582,94_531525,94,531525,1,10.716335,7.1026735,0,61,0.17922899,876086,654561,1,0.2489248516880985,0.2701930795638261,0.9212850754354588,0.24892485168809853,0.9212850754354588
TNG50-95-347737-0-127.cube_maps.fits,347737,95,0,95_347737,95_347737_0,95,347737,1.3045236,3.319578,3.4212573,95_347737,95,347737,0,9.746015,6.6947737,2,127,0.025187394,95590,80631,1,0.3812994713960859,0.39297874609363,0.9702801364866652,0.3812994713960859,0.9702801364866652
TNG50-91-529396-0-127.cube_maps.fits,529396,91,0,91_529396,91_529396_0,91,529396,0.99569285,2.7473583,2.9317305,91_529396,91,529396,0,10.711119,5.4367433,2,61,0.7366222,896991,393058,1,0.3396263230880191,0.3624182728550549,0.93711147733395,0.33962632308801916,0.9371114773339501
TNG50-97-54-0-127.cube_maps.fits,54,97,0,97_54,97_54_0,97,54,1.0780686,2.1989663,2.3903213,97_54,97,54,0,9.427721,4.6468544,1,127,0.056222845,45270,38051,1,0.451014095887444,0.4902615378871426,0.9199459085270252,0.45101409588744407,0.9199459085270252
TNG50-97-578573-1-127.cube_maps.fits,578573,97,1,97_578573,97_578573_1,97,578573,0.8143398,1.2652158,1.5231825,97_578573,97,578573,1,10.338922,3.4536629,1,37,0.057897117,420506,509514,3,0.5346304858413223,0.6436370775641593,0.8306396639929883,0.5346304858413223,0.8306396639929883
TNG50-96-660660-0-127.cube_maps.fits,660660,96,0,96_660660,96_660660_0,96,660660,0.76961553,1.3730047,1.3963182,96_660660,96,660660,0,9.639278,3.458392,2,91,0.023670632,83477,225000,1,0.5511748897923124,0.5605337913264244,0.9833035908290818,0.5511748897923124,0.9833035908290818
TNG50-97-98704-0-127.cube_maps.fits,98704,97,0,97_98704,97_98704_0,97,98704,1.0793426,2.8558288,3.4612744,97_98704,97,98704,0,10.47376,6.430033,1,127,0.109281376,559459,14285,3,0.3118338725181684,0.3779437338820871,0.8250801496697285,0.3118338725181684,0.8250801496697285
TNG50-96-584538-0-127.cube_maps.fits,584538,96,0,96_584538,96_584538_0,96,584538,1.5177127,5.6447425,5.6692395,96_584538,96,584538,0,10.392466,12.465778,1,91,0.91976964,421775,601027,1,0.2677101046798252,0.2688719104547284,0.9956789618783968,0.2677101046798252,0.9956789618783967
TNG50-95-68166-0-127.cube_maps.fits,68166,95,0,95_68166,95_68166_0,95,68166,1.109399,1.8498757,1.8858687,95_68166,95,68166,0,10.808289,4.1053057,1,61,0.021187717,1260972,0,1,0.5882694802665742,0.5997154295285895,0.9809143658834784,0.5882694802665742,0.9809143658834785
TNG50-92-516661-1-127.cube_maps.fits,516661,92,1,92_516661,92_516661_1,92,516661,1.2205523,3.3504782,3.49388,92_516661,92,516661,1,10.711426,6.3686185,2,61,0.023101969,880419,540943,1,0.3493400746448075,0.3642919688300016,0.9589562892829748,0.34934007464480754,0.9589562892829748
TNG50-96-194953-0-127.cube_maps.fits,194953,96,0,96_194953,96_194953_0,96,194953,0.8019099,1.7845355,1.8225448,96_194953,96,194953,0,9.61151,3.718584,2,91,0.24479452,70786,18895,1,0.4399946163188965,0.4493661796024791,0.9791449296609884,0.4399946163188965,0.9791449296609883
TNG50-92-497678-0-127.cube_maps.fits,497678,92,0,92_497678,92_497678_0,92,497678,2.2174761,6.2433276,6.4100285,92_497678,92,497678,0,10.692665,12.870499,2,61,0.09730089,820711,1489497,1,0.3459385710999568,0.3551753555267546,0.9739937349732531,0.34593857109995685,0.9739937349732531
TNG50-96-565990-0-127.cube_maps.fits,565990,96,0,96_565990,96_565990_0,96,565990,0.6497672,1.2799035,1.2847915,96_565990,96,565990,0,9.604266,2.8494065,2,61,0.045011025,69133,39158,1,0.5057374679082169,0.5076688984755491,0.996195491642029,0.5057374679082169,0.996195491642029
TNG50-97-320636-0-127.cube_maps.fits,320636,97,0,97_320636,97_320636_0,97,320636,0.45009077,0.5170971,0.5375789,97_320636,97,320636,0,9.034977,1.382405,0,19,0.009241119,19756,0,1,0.8372552754581699,0.8704182831425664,0.9618999183189668,0.8372552754581699,0.9618999183189668
TNG50-96-64-0-127.cube_maps.fits,64,96,0,96_64,96_64_0,96,64,0.45075834,0.5607867,0.9335278,96_64,96,64,0,9.910951,1.8543677,0,19,0.180133,152924,0,3,0.4828547580479124,0.8037964167124506,0.600717729027459,0.4828547580479124,0.600717729027459
TNG50-93-498148-0-127.cube_maps.fits,498148,93,0,93_498148,93_498148_0,93,498148,1.3194091,2.5076466,2.788454,93_498148,93,498148,0,10.604795,5.8790817,2,61,0.0316857,750715,1292297,-1,0.4731686805663639,0.5261543233404579,0.8992963843047079,0.47316868056636396,0.8992963843047079
TNG50-95-625091-0-127.cube_maps.fits,625091,95,0,95_625091,95_625091_0,95,625091,1.4093946,2.010209,2.0729198,95_625091,95,625091,0,9.638881,4.6490893,2,91,0.017776078,73441,314044,1,0.6799079250436991,0.7011184409183323,0.9697475994970958,0.6799079250436991,0.9697475994970958
TNG50-96-270441-1-127.cube_maps.fits,270441,96,1,96_270441,96_270441_1,96,270441,0.77930313,1.4963043,1.5885291,96_270441,96,270441,1,10.146266,3.623442,0,37,0.05854649,268273,10757,1,0.4905815889680585,0.5208186128984592,0.94194327318272,0.49058158896805854,0.9419432731827199
